UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure_Probability,Risk_Score,Risk_Level,Predicted_Failure_Type,Max_Failure_Type_Probability,TWF_Probability,HDF_Probability,PWF_Probability,OSF_Probability,Key_Risk_Factor,Recommended_Action,Improvement_Failure_Type,Improvement_Point,Improvement_Goal,Control_Action,Improvement_Priority
1,M14860,M,298.1,308.6,1551,42.8,0,0,0.00016785075,0.016785076,Low,Normal,0.0003253474,2.321977e-06,3.5383437e-05,0.0003253474,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
2,L47181,L,298.2,308.7,1408,46.3,3,0,0.001655698,0.16556981,Low,Normal,0.00015006016,2.6189495e-05,2.1982692e-05,0.00015006016,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
3,L47182,L,298.1,308.5,1498,49.4,5,0,0.0003512259,0.03512259,Low,Normal,0.00013705334,2.9218354e-06,5.7714307e-05,0.00013705334,2.8523787e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
4,L47183,L,298.2,308.6,1433,39.5,7,0,0.00129851,0.129851,Low,Normal,0.00014261735,0.00014261735,3.51373e-05,5.0117145e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
5,L47184,L,298.2,308.7,1408,40.0,9,0,0.0007676757,0.07676757,Low,Normal,0.00018874275,0.00018874275,3.51373e-05,5.0117145e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
6,M14865,M,298.1,308.6,1425,41.9,11,0,0.0017245789,0.17245789,Low,Normal,0.00015541048,0.000102473445,3.8900198e-05,0.00015541048,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
7,L47186,L,298.1,308.6,1558,42.4,14,0,0.00011138967,0.011138967,Low,Normal,5.9945007e-05,3.0137016e-06,3.196071e-05,5.9945007e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
8,L47187,L,298.1,308.6,1527,40.2,16,0,0.00012868215,0.012868215,Low,Normal,6.421842e-05,6.9444513e-06,3.0700205e-05,6.421842e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
9,M14868,M,298.3,308.7,1667,28.6,18,0,0.00073658966,0.073658966,Low,Normal,0.00015089625,0.00015089625,3.8900198e-05,8.625789e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
10,M14869,M,298.5,309.0,1741,28.0,21,0,0.0005827056,0.05827056,Low,Normal,4.6928082e-05,4.6928082e-05,3.8900198e-05,4.1805877e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
11,H29424,H,298.4,308.9,1782,23.9,24,0,0.00046826198,0.0468262,Low,Normal,9.267724e-05,9.267724e-05,3.904574e-05,4.5972552e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
12,H29425,H,298.6,309.1,1423,44.3,29,0,0.0020720372,0.20720372,Low,Normal,3.104795e-05,9.318924e-06,3.104795e-05,2.2872975e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
13,M14872,M,298.6,309.1,1339,51.1,34,0,0.00090125174,0.09012517,Low,Normal,0.0003011456,9.976633e-06,0.0003011456,4.4426022e-05,1.996838e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
14,M14873,M,298.6,309.2,1742,30.0,37,0,0.0003057346,0.030573461,Low,Normal,4.433038e-05,3.6330748e-05,3.5645575e-05,4.433038e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
15,L47194,L,298.6,309.2,2035,19.6,40,0,0.0015619352,0.15619352,Low,Normal,0.00014811064,0.00014811064,3.2197495e-05,1.623893e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
16,L47195,L,298.6,309.2,1542,48.4,42,0,0.00025616976,0.025616976,Low,Normal,4.684295e-05,2.0131256e-06,4.684295e-05,1.2009603e-05,3.28193e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
17,M14876,M,298.6,309.2,1311,46.6,44,0,0.0018532234,0.18532234,Low,Normal,0.00027059033,2.0121288e-05,0.00027059033,3.6868238e-05,1.5936499e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
18,M14877,M,298.7,309.2,1410,45.6,47,0,0.0018395556,0.18395555,Low,Normal,3.4976525e-05,1.1019969e-05,1.940674e-05,3.4976525e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
19,H29432,H,298.8,309.2,1306,54.5,50,0,0.0010956408,0.10956408,Low,Normal,0.00071765145,1.3855278e-05,0.00071765145,1.4330805e-05,2.2469569e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
20,M14879,M,298.9,309.3,1632,32.5,55,0,0.00013205041,0.013205041,Low,Normal,3.690595e-05,7.774392e-06,3.1273616e-05,3.690595e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
21,H29434,H,298.9,309.3,1375,42.7,58,0,0.0031251085,0.31251085,Low,Normal,0.0001960168,1.1108581e-05,0.0001960168,1.4196061e-05,1.6039325e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
22,L47201,L,298.8,309.3,1450,44.8,63,0,0.003205377,0.3205377,Low,Normal,2.0575802e-05,9.907371e-06,1.6949776e-05,8.904844e-06,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
23,M14882,M,298.9,309.3,1581,30.7,65,0,0.0010926323,0.10926323,Low,Normal,4.1318413e-05,1.5074091e-05,3.1273616e-05,4.1318413e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
24,L47203,L,299.0,309.4,1758,25.7,68,0,0.0007134703,0.07134703,Low,Normal,3.2242107e-05,3.2242107e-05,2.655998e-05,1.3105018e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
25,M14884,M,299.0,309.4,1561,37.3,70,0,0.0001980635,0.01980635,Low,Normal,3.0409927e-05,6.6015477e-06,3.0409927e-05,2.8646158e-05,1.7844492e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
26,L47205,L,299.0,309.5,1861,23.3,73,0,0.0012966619,0.1296662,Low,Normal,4.268767e-05,1.866123e-05,2.7686912e-05,4.268767e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
27,L47206,L,299.1,309.5,1512,39.0,75,0,0.00027922558,0.027922558,Low,Normal,2.655998e-05,1.0676219e-05,2.655998e-05,8.777589e-06,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
28,H29441,H,299.1,309.4,1811,24.6,77,0,0.00063458283,0.063458286,Low,Normal,3.3136144e-05,2.5290045e-05,3.3136144e-05,2.2116914e-05,1.817214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
29,L47208,L,299.1,309.4,1439,44.2,82,0,0.0071297074,0.71297073,Low,Normal,2.0953601e-05,4.172832e-06,1.9135723e-05,3.0224053e-06,2.0953601e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
30,L47209,L,299.0,309.4,1693,30.1,84,0,0.0005538627,0.05538627,Low,Normal,2.8833187e-05,2.6472107e-05,2.8833187e-05,1.0042603e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
31,M14890,M,299.1,309.5,1339,48.2,86,0,0.0027849928,0.27849928,Low,Normal,5.647881e-05,1.0355707e-05,5.647881e-05,3.89632e-05,1.647076e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
32,L47211,L,299.0,309.4,1798,25.5,89,0,0.00094886945,0.09488694,Low,Normal,4.5498724e-05,3.5086203e-05,2.8833187e-05,4.5498724e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
33,L47212,L,299.0,309.4,1419,48.3,91,0,0.0022528172,0.22528172,Low,Normal,2.0948986e-05,3.9267566e-06,2.0948986e-05,1.4051858e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
34,L47213,L,298.9,309.3,1665,32.5,93,0,0.00016672796,0.016672796,Low,Normal,2.9446834e-05,8.783592e-06,2.9446834e-05,1.3737587e-05,2.0575802e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
35,M14894,M,298.8,309.1,1559,34.7,95,0,0.00020038015,0.020038014,Low,Normal,3.3314278e-05,7.645509e-06,3.3314278e-05,2.8393113e-05,1.817214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
36,M14895,M,298.8,309.2,1452,48.6,98,0,0.003973721,0.3973721,Low,Normal,5.4655062e-05,6.9729545e-06,5.4655062e-05,3.177645e-05,1.8019433e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
37,M14896,M,298.9,309.2,1581,36.7,101,0,0.00039083592,0.039083593,Low,Normal,3.3314278e-05,6.3322136e-06,3.3314278e-05,2.5623287e-05,1.817214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
38,L47217,L,298.8,309.1,1439,39.2,104,0,0.012596539,1.2596539,Low,Normal,3.451753e-05,3.451753e-05,2.7656328e-05,1.0750517e-05,2.0953601e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
39,H29452,H,298.9,309.2,1379,50.7,106,0,0.0011689829,0.11689829,Low,Normal,0.00014197205,1.2402054e-05,0.00014197205,3.2772543e-05,1.9046694e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
40,L47219,L,298.8,309.1,1350,52.5,111,0,0.00069443084,0.069443084,Low,Normal,0.00011936581,7.792667e-06,0.00011936581,2.1839829e-05,2.4042074e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
41,L47220,L,298.8,309.1,1362,45.4,113,0,0.0070184683,0.70184684,Low,Normal,9.976008e-05,1.7181279e-05,9.976008e-05,1.774855e-05,1.8924426e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
