UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure_Probability,Risk_Score,Risk_Level,Predicted_Failure_Type,Failure_Type_Probability,TWF_Probability,HDF_Probability,PWF_Probability,OSF_Probability,Key_Risk_Factor,Recommended_Action
1,M14860,M,298.1,308.6,1551,42.8,0,0,0.00012262196,0.012262196,Low,Normal,0.00048608903,2.7401318e-06,4.9394894e-05,0.00048608903,1.7669732e-05,No Major Risk Factor,정상 모니터링
2,L47181,L,298.2,308.7,1408,46.3,3,0,0.0013264492,0.13264492,Low,Normal,0.00025076873,1.6728984e-05,2.5118765e-05,0.00025076873,2.1970412e-05,No Major Risk Factor,정상 모니터링
3,L47182,L,298.1,308.5,1498,49.4,5,0,0.00034901427,0.034901425,Low,Normal,0.00023030263,3.6490815e-06,3.8734655e-05,0.00023030263,2.9889638e-05,No Major Risk Factor,정상 모니터링
4,L47183,L,298.2,308.6,1433,39.5,7,0,0.0011319498,0.11319498,Low,Normal,9.2401395e-05,9.2401395e-05,3.3697062e-05,8.9474335e-05,2.1970412e-05,No Major Risk Factor,정상 모니터링
5,L47184,L,298.2,308.7,1408,40.0,9,0,0.00067341287,0.06734129,Low,Normal,0.00012415514,0.00012415514,3.3697062e-05,8.9474335e-05,2.1970412e-05,No Major Risk Factor,정상 모니터링
6,M14865,M,298.1,308.6,1425,41.9,11,0,0.0010472913,0.10472913,Low,Normal,0.00025835767,5.993552e-05,3.4836183e-05,0.00025835767,1.7669732e-05,No Major Risk Factor,정상 모니터링
7,L47186,L,298.1,308.6,1558,42.4,14,0,0.00012665369,0.012665369,Low,Normal,9.804376e-05,2.71928e-06,3.7184294e-05,9.804376e-05,2.1970412e-05,No Major Risk Factor,정상 모니터링
8,L47187,L,298.1,308.6,1527,40.2,16,0,0.00014241651,0.014241651,Low,Normal,0.000102486345,8.1452135e-06,2.7846796e-05,0.000102486345,2.1970412e-05,No Major Risk Factor,정상 모니터링
9,M14868,M,298.3,308.7,1667,28.6,18,0,0.00047848333,0.047848333,Low,Normal,0.00011245703,6.577633e-05,3.4836183e-05,0.00011245703,1.7669732e-05,No Major Risk Factor,정상 모니터링
10,M14869,M,298.5,309.0,1741,28.0,21,0,0.0004298136,0.04298136,Low,Normal,6.0854636e-05,1.8455436e-05,3.4836183e-05,6.0854636e-05,1.7669732e-05,High RPM,정상 모니터링
11,H29424,H,298.4,308.9,1782,23.9,24,0,0.0003814488,0.03814488,Low,Normal,6.2929816e-05,6.2929816e-05,3.4189303e-05,4.5834706e-05,1.7669732e-05,High RPM,정상 모니터링
12,H29425,H,298.6,309.1,1423,44.3,29,0,0.0019652224,0.19652224,Low,Normal,2.8253577e-05,4.215699e-06,2.8253577e-05,2.6025395e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
13,M14872,M,298.6,309.1,1339,51.1,34,0,0.0007667464,0.07667464,Low,Normal,0.0002593115,6.703614e-06,0.0002593115,5.3651285e-05,1.8861941e-05,No Major Risk Factor,정상 모니터링
14,M14873,M,298.6,309.2,1742,30.0,37,0,0.00039385952,0.039385952,Low,Normal,5.9575326e-05,1.8621266e-05,3.1336847e-05,5.9575326e-05,1.7312861e-05,High RPM,정상 모니터링
15,L47194,L,298.6,309.2,2035,19.6,40,0,0.00161287,0.16128701,Low,Normal,0.00016231675,0.00016231675,3.031215e-05,1.9659125e-05,2.1526683e-05,High RPM,정상 모니터링
16,L47195,L,298.6,309.2,1542,48.4,42,0,0.00030509577,0.030509578,Low,Normal,3.523145e-05,1.3633248e-06,2.633857e-05,1.441076e-05,3.523145e-05,No Major Risk Factor,정상 모니터링
17,M14876,M,298.6,309.2,1311,46.6,44,0,0.0015753771,0.15753771,Low,Normal,0.00026664918,1.7898314e-05,0.00026664918,4.4864886e-05,1.6298196e-05,No Major Risk Factor,정상 모니터링
18,M14877,M,298.7,309.2,1410,45.6,47,0,0.0024789223,0.24789223,Low,Normal,4.372169e-05,4.364861e-06,2.1268632e-05,4.372169e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
19,H29432,H,298.8,309.2,1306,54.5,50,0,0.0019640417,0.19640417,Low,Normal,0.00055288983,9.915047e-06,0.00055288983,1.4621552e-05,1.913846e-05,High Torque,정상 모니터링
20,M14879,M,298.9,309.3,1632,32.5,55,0,0.00016873945,0.016873945,Low,Normal,4.1241135e-05,7.0963238e-06,2.8532115e-05,4.1241135e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
21,H29434,H,298.9,309.3,1375,42.7,58,0,0.002860466,0.2860466,Low,Normal,0.00021359448,1.1342333e-05,0.00021359448,1.3331552e-05,1.6568545e-05,No Major Risk Factor,정상 모니터링
22,L47201,L,298.8,309.3,1450,44.8,63,0,0.0042020385,0.42020386,Low,Normal,2.1526683e-05,2.8612017e-06,1.9989186e-05,1.0905677e-05,2.1526683e-05,No Major Risk Factor,정상 모니터링
23,M14882,M,298.9,309.3,1581,30.7,65,0,0.0009427745,0.09427745,Low,Normal,4.729856e-05,1.5348296e-05,2.8532115e-05,4.729856e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
24,L47203,L,299.0,309.4,1758,25.7,68,0,0.00067124236,0.06712423,Low,Normal,2.759913e-05,2.1375588e-05,2.759913e-05,1.20262785e-05,2.1526683e-05,High RPM,정상 모니터링
25,M14884,M,299.0,309.4,1561,37.3,70,0,0.00040252763,0.040252764,Low,Normal,3.4483543e-05,5.008779e-06,2.8532115e-05,3.4483543e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
26,L47205,L,299.0,309.5,1861,23.3,73,0,0.0013044681,0.13044682,Low,Normal,4.1543142e-05,2.042585e-05,3.031215e-05,4.1543142e-05,2.1526683e-05,High RPM,정상 모니터링
27,L47206,L,299.1,309.5,1512,39.0,75,0,0.00042639356,0.042639356,Low,Normal,2.6815735e-05,7.357877e-06,2.6815735e-05,6.4355695e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
28,H29441,H,299.1,309.4,1811,24.6,77,0,0.00081803766,0.08180377,Low,Normal,2.9190782e-05,2.5368478e-05,2.9190782e-05,1.8837494e-05,1.7312861e-05,High RPM,정상 모니터링
